word,translation,explanation
你好,hello,"""hello"" 是最常見的問候語，正式或非正式場合都適用；口語中常簡化成 ""hi""。"
世界,world,"""world"" 指「世界」，常見片語如 ""all over the world""（全世界）。"
貓咪,cat,"""cat"" 是貓的統稱；暱稱可以說 ""kitty"" 或 ""kitten""（小貓）。"
狗狗,dog,"""dog"" 是狗的統稱；暱稱是 ""doggy"" 或 ""puppy""（小狗）。"
電腦,computer,"""computer"" 源自 ""compute""（計算）+ ""-er""（...的東西），字面就是「計算的機器」。"
鍵盤,keyboard,"""keyboard"" 由 ""key""（鍵）+ ""board""（板）組成，也可指鋼琴等樂器的鍵盤。"
螢幕,monitor,"""monitor"" 除了「螢幕」，也可當動詞，意思是「監控、監測」。"
滑鼠,mouse,"""mouse"" 原指老鼠，電腦滑鼠借用其外形命名；複數形是不規則的 ""mice""。"
喇叭,speaker,"""speaker"" 由 ""speak""（說話）+ ""-er"" 組成，除了「喇叭」，也可指「演講者」。"
桌子,table,"""table"" 除了「桌子」，也常見於片語 ""table of contents""（目錄）。"
椅子,chair,"""chair"" 除了「椅子」，也可當動詞，意思是「主持（會議）」。"
書本,book,"""book"" 除了「書」，也可當動詞用，意思是「預訂」，如 ""book a hotel""。"
筆,pen,"""pen"" 專指原子筆、鋼筆一類的筆；鉛筆要說 ""pencil""。"
電話,phone,"""phone"" 是 ""telephone"" 的縮寫，日常口語幾乎都直接說 ""phone""。"
衣服,shirt,"""shirt"" 通常指有領子、扣子的襯衫；T恤要說 ""T-shirt""。"
鞋子,shoes,"""shoes"" 通常用複數形，因為鞋子成雙出現，跟中文「一雙鞋」概念相似。"
太陽,sun,"""sun"" 前面通常要加定冠詞說 ""the sun""，因為世界上只有一個太陽。"
月亮,moon,"""moon"" 同樣常用 ""the moon""，指地球唯一的衛星。"
星星,star,"""star"" 除了「星星」，也常用來指「明星」，如 ""movie star""。"
是 / 在,be,"""be"" 是英文最重要的動詞之一，會隨主詞與時態變化為 am/is/are/was/were。"
有,have,"""have"" 除了表示「擁有」，也常用來構成完成式，如 ""have done""。"
做,do,"""do"" 除了本身「做」的意思，也常當助動詞來構成疑問句與否定句。"
說,say,"""say"" 著重在「說出的內容」，常直接接引語，如 ""She said, 'Hi.'"""
走 / 去,go,"""go"" 的過去式是不規則的 ""went""，過去分詞是 ""gone""。"
來,come,"""come"" 表示朝說話者的方向移動，方向與 ""go""（遠離）相反。"
做 / 製作,make,"""make"" 常用於「以原料製成某物」，如 ""made of wood""（木頭做的）。"
拿到,get,"""get"" 是英文中用途最廣的動詞之一，可表示「得到、變得、到達」等多種意思。"
知道,know,"""know"" 的過去式是不規則的 ""knew""，過去分詞是 ""known""。"
拿,take,"""take"" 的過去式是不規則的 ""took""，過去分詞是 ""taken""。"
看見,see,"""see"" 強調「看見」這個自然接收到的結果，跟主動去看的 ""look"" 不同。"
看,look,"""look"" 強調「主動地看」，常搭配介系詞，如 ""look at""（看著）。"
想要,want,"""want"" 後面接動詞時要用不定詞，如 ""want to go""（想去）。"
找到,find,"""find"" 的過去式與過去分詞都是不規則的 ""found""。"
給,give,"""give"" 常用於雙受詞句型，如 ""give someone something""。"
問,ask,"""ask"" 除了「問問題」，也可表示「請求」，如 ""ask for help""。"
告訴,tell,"""tell"" 後面通常直接接人，如 ""tell me""，不像 ""say"" 需要加介系詞。"
叫 / 打電話,call,"""call"" 除了「打電話」，也常表示「稱呼」，如 ""call me Tom""。"
幫助,help,"""help"" 後面接動詞時，不定詞的 ""to"" 常可省略，如 ""help me (to) do it""。"
玩,play,"""play"" 除了「玩」，也用於運動與樂器，如 ""play basketball""、""play the piano""。"
讀書,read,"""read"" 現在式與過去式拼法相同，但發音不同（現在式唸 /riːd/，過去式唸 /rɛd/）。"
寫字,write,"""write"" 的過去式是不規則的 ""wrote""，過去分詞是 ""written""。"
畫畫,draw,"""draw"" 通常指用筆畫線條、素描；用顏料上色則常說 ""paint""。"
跑,run,"""run"" 除了「跑步」，也常用於「經營」，如 ""run a business""（經營事業）。"
走路,walk,"""walk"" 除了當動詞「走路」，也可當名詞，如 ""take a walk""（去散步）。"
跳,jump,"""jump"" 除了字面的「跳」，也常用於比喻，如 ""jump to a conclusion""（驟下結論）。"
坐下,sit,"""sit"" 的過去式與過去分詞都是不規則的 ""sat""。"
站立,stand,"""stand"" 除了「站立」，也常表示「忍受」，如 ""can't stand it""（無法忍受）。"
睡覺,sleep,"""sleep"" 的過去式與過去分詞都是不規則的 ""slept""。"
吃,eat,"""eat"" 的過去式是不規則的 ""ate""，過去分詞是 ""eaten""。"
喝,drink,"""drink"" 的過去式是不規則的 ""drank""，過去分詞是 ""drunk""。"
喜歡,like,"""like"" 後面接動詞時，動名詞或不定詞皆可，如 ""like swimming/to swim""。"
愛,love,"""love"" 語氣比 ""like"" 更強烈，可表示強烈的喜愛或愛情。"
打開,open,"""open"" 既可當動詞「打開」，也可當形容詞「開著的」，如 ""The door is open."""
關上,close,"""close"" 當動詞唸 /kloʊz/（關閉），當形容詞「接近的」則唸 /kloʊs/。"
開始,begin,"""begin"" 的過去式是不規則的 ""began""，過去分詞是 ""begun""，意思與 ""start"" 相近。"
結束,end,"""end"" 既可當動詞「結束」，也可當名詞「結尾、末端」。"
停止,stop,"""stop"" 後面接動名詞表示「停止做某事」，接不定詞則表示「停下來去做另一件事」。"
聽,listen,"""listen"" 強調「主動地聽」，常搭配介系詞，如 ""listen to music""。"
居住,live,"""live"" 當動詞唸 /lɪv/（居住），當形容詞「現場的」則唸 /laɪv/。"
學習,study,"""study"" 除了「學習」，也常指「研讀某科目」，如 ""study math""。"
打掃,clean,"這裡的 ""clean"" 當動詞用，表示「打掃、清潔」的動作。"
洗,wash,"""wash"" 常見片語有 ""wash the dishes""（洗碗）、""wash your hands""（洗手）。"
穿 (衣服),wear,"""wear"" 的過去式是不規則的 ""wore""，過去分詞是 ""worn""，指「穿著」的狀態而非穿上的動作（穿上動作用 ""put on""）。"
使用,use,"""use"" 當動詞唸 /juːz/，當名詞「用途」則唸 /juːs/。"
買,buy,"""buy"" 的過去式與過去分詞都是不規則的 ""bought""。"
賣,sell,"""sell"" 的過去式與過去分詞都是不規則的 ""sold""，是 ""buy"" 的反義詞。"
放,put,"""put"" 是三態同形的不規則動詞，現在式、過去式、過去分詞都是 ""put""。"
轉,turn,"""turn"" 常見片語有 ""turn on/off""（打開／關掉）、""turn around""（轉身）。"
推,push,"""push"" 與 ""pull"" 是常見的一組反義詞，常出現在門上的標示。"
拉,pull,"""pull"" 與 ""push"" 相對，指「拉」的動作。"
抓住,catch,"""catch"" 的過去式與過去分詞都是不規則的 ""caught""。"
掉落,drop,"""drop"" 除了「掉落」，也常表示「放棄、退出」，如 ""drop a class""（退選課程）。"
丟,throw,"""throw"" 的過去式是不規則的 ""threw""，過去分詞是 ""thrown""。"
切,cut,"""cut"" 是三態同形的不規則動詞，現在式、過去式、過去分詞都是 ""cut""。"
修理,fix,"""fix"" 是「修理」的口語常用說法，較正式可說 ""repair""。"
移動,move,"""move"" 除了「移動」，也常表示「搬家」，如 ""move to a new city""。"
等待,wait,"""wait"" 後面接人或事時要加介系詞 ""for""，如 ""wait for me""。"
感謝,thank,"""thank"" 常用於固定用法 ""thank you""，比單獨使用 ""thank"" 更常見。"
人,people,"""people"" 是 ""person"" 的複數形，本身已是複數，不需再加 s。"
小孩,child,"""child"" 的複數形是不規則的 ""children""。"
朋友,friend,"""friend"" 常見片語有 ""make friends""（交朋友）。"
家庭,family,"""family"" 可視為單數或集合複數名詞，英式、美式用法略有不同。"
媽媽,mom,"""mom"" 是美式說法，英式英語通常說 ""mum""。"
爸爸,dad,"""dad"" 是 ""father"" 的暱稱口語說法。"
哥哥 / 弟弟,brother,"""brother"" 不分年齡大小，泛指兄弟；要強調長幼需另外說明，如 ""older/younger brother""。"
姊姊 / 妹妹,sister,"""sister"" 同樣不分年齡，泛指姊妹。"
老師,teacher,"""teacher"" 由 ""teach""（教）+ ""-er"" 組成，指「教學的人」。"
學校,school,"""school"" 除了「學校」這個場所，也常用來指「上學」這件事，如 ""go to school""。"
班級,class,"""class"" 除了「班級」，也可指「一堂課」，如 ""English class""。"
家,home,"""home"" 強調情感上的「家」，""house"" 則單純指「房屋」這個建築物。"
房間,room,"""room"" 除了「房間」，也可當不可數名詞表示「空間」，如 ""no room""（沒有空間）。"
門,door,"""door"" 常見片語 ""answer the door""（應門）。"
窗戶,window,"""window"" 源自古北歐語，字面帶有「風之眼」的意思。"
床,bed,"""bed"" 常見片語 ""go to bed""（去睡覺）、""make the bed""（整理床鋪）。"
玩具,toy,"""toy"" 也可當動詞，意思是「玩弄」，如 ""toy with an idea""。"
球,ball,"""ball"" 除了「球」，也可指「舞會」，如 ""a fancy ball""。"
遊戲,game,"""game"" 除了「遊戲」，也常用於運動比賽，如 ""a basketball game""。"
腳踏車,bike,"""bike"" 是 ""bicycle"" 的口語縮寫。"
汽車,car,"""car"" 是最常見的「汽車」說法。"
公車,bus,"""bus"" 是 ""omnibus"" 的縮寫。"
火車,train,"""train"" 除了「火車」，也可當動詞，意思是「訓練」。"
道路,road,"""road"" 泛指一般道路，""street"" 則多指城鎮裡兩旁有建築物的街道。"
公園,park,"""park"" 除了「公園」，也常當動詞，意思是「停車」。"
樹,tree,"""tree"" 常見片語 ""family tree""（家族樹、族譜）。"
花,flower,"""flower"" 也可當動詞，意思是「開花」。"
草地,grass,"""grass"" 是不可數名詞，指草的統稱。"
水,water,"""water"" 通常是不可數名詞；當動詞用時意思是「澆水」。"
食物,food,"""food"" 通常是不可數名詞，泛指食物。"
蘋果,apple,"""apple"" 常見於諺語 ""An apple a day keeps the doctor away.""（一天一蘋果，醫生遠離我）。"
香蕉,banana,"""banana"" 常見片語 ""go bananas""（發瘋、抓狂）。"
牛奶,milk,"""milk"" 通常是不可數名詞，當動詞用時意思是「擠奶」。"
麵包,bread,"""bread"" 是不可數名詞，要說「一條麵包」需說 ""a loaf of bread""。"
肉,meat,"""meat"" 是不可數名詞，泛指肉類。"
魚,fish,"""fish"" 當複數時通常維持原形不變，指多種魚類時才用 ""fishes""。"
蛋,egg,"""egg"" 常見片語 ""egg on""（慫恿、煽動）。"
蛋糕,cake,"""cake"" 常見片語 ""a piece of cake""（小事一樁）。"
冰淇淋,ice cream,"""ice cream"" 由 ""ice""（冰）+ ""cream""（奶油）組成。"
時間,time,"""time"" 除了「時間」，也常用於表示「次數」，如 ""three times""（三次）。"
小時,hour,"""hour"" 開頭的 h 不發音，前面要用 ""an"" 而非 ""a""，如 ""an hour""。"
分鐘,minute,"""minute"" 當名詞唸 /ˈmɪnɪt/（分鐘），當形容詞「微小的」則唸 /maɪˈnjuːt/。"
天,day,"""day"" 常見片語 ""day by day""（一天一天地）。"
週,week,"""week"" 常見片語 ""this week""（這週）、""next week""（下週）。"
月,month,"""month"" 常見片語 ""once a month""（一個月一次）。"
年,year,"""year"" 常見片語 ""New Year""（新年）。"
早上,morning,"""morning"" 常見問候語 ""Good morning.""（早安）。"
下午,afternoon,"""afternoon"" 常見問候語 ""Good afternoon.""（午安）。"
晚上,night,"""night"" 常見問候語 ""Good night.""（晚安），用於睡前道別。"
今天,today,"""today"" 由 ""to""（在）+ ""day""（日）組成。"
明天,tomorrow,"""tomorrow"" 常見片語 ""See you tomorrow.""（明天見）。"
昨天,yesterday,"""yesterday"" 常見片語 ""the day before yesterday""（前天）。"
錢,money,"""money"" 是不可數名詞，不能說 ""a money""，要說 ""some money""。"
禮物,gift,"""gift"" 除了「禮物」，也可指「天賦」，如 ""a gift for music""。"
東西 / 事情,thing,"""thing"" 是泛指的名詞，可代替任何具體或抽象的事物。"
想法,idea,"""idea"" 常見片語 ""have an idea""（有個主意）、""no idea""（不知道）。"
答案,answer,"""answer"" 既可當名詞「答案」，也可當動詞「回答」。"
問題,question,"""question"" 常見片語 ""ask a question""（問問題）。"
幫助,help,"""help"" 後面接動詞時，不定詞的 ""to"" 常可省略，如 ""help me (to) do it""。"
名字,name,"""name"" 也可當動詞，意思是「命名」，如 ""name a baby""。"
顏色,color,"""color"" 是美式拼法，英式英語拼作 ""colour""。"
紅色,red,"""red"" 常見片語 ""in the red""（虧損、負債）。"
藍色,blue,"""blue"" 除了顏色，也常表示「憂鬱」，如 ""feel blue""。"
黃色,yellow,"""yellow"" 在英文口語中有時暗指「膽小」。"
綠色,green,"""green"" 除了顏色，也常表示「環保」，如 ""go green""，或指「沒有經驗」。"
白色,white,"""white"" 常見片語 ""white lie""（善意的謊言）。"
黑色,black,"""black"" 常見片語 ""black and white""（黑白分明、白紙黑字）。"
橘色,orange,"""orange"" 這個字同時是顏色也是水果「柳橙」的名稱。"
紫色,purple,"""purple"" 常見片語 ""born to the purple""（出身貴族）。"
粉紅色,pink,"""pink"" 常見片語 ""in the pink""（健康狀態極佳）。"
咖啡色,brown,"""brown"" 常見片語 ""brown bag""（自備午餐的紙袋）。"
大的,big,"""big"" 是最常見的「大」，較口語；正式一點可用 ""large""。"
小的,small,"""small"" 與 ""little"" 意思相近，但 ""little"" 常帶有情感色彩。"
高的,tall,"""tall"" 通常用於形容人、建築物等高度，""high"" 則多用於物體離地面的高度。"
矮的 / 短的,short,"""short"" 可形容身高矮，也可形容長度、時間短。"
長的,long,"""long"" 常見片語 ""as long as""（只要）。"
新的,new,"""new"" 的反義詞除了 ""old""，也常用 ""used""（二手的）來對比全新品。"
舊的 / 老的,old,"""old"" 既可形容年紀大，也可形容物品舊，需視上下文判斷對應中文。"
開心的,happy,"""happy"" 常見片語 ""Happy Birthday!""（生日快樂）。"
難過的,sad,"""sad"" 是最基本的「難過」，語氣比 ""depressed""（憂鬱的）輕。"
生氣的,angry,"""angry"" 較口語的說法是 ""mad""（美式英語常用）。"
害怕的,scared,"""scared"" 常見用法 ""scared of""（害怕...），如 ""scared of dogs""。"
好的,good,"""good"" 的比較級是不規則的 ""better""，最高級是 ""best""。"
壞的,bad,"""bad"" 的比較級是不規則的 ""worse""，最高級是 ""worst""。"
容易的,easy,"""easy"" 常見片語 ""take it easy""（放輕鬆）。"
困難的,hard,"""hard"" 除了「困難的」，也可表示「用力的」，如 ""hard work""（努力工作）。"
快的,fast,"""fast"" 既可當形容詞也可當副詞，拼法不變，如 ""run fast""。"
慢的,slow,"""slow"" 也可當動詞，如 ""slow down""（放慢速度）。"
熱的,hot,"""hot"" 除了溫度高，也常表示食物「辣」，需依上下文判斷。"
冷的,cold,"""cold"" 也可當名詞，指「感冒」，如 ""catch a cold""。"
溫暖的,warm,"""warm"" 除了溫暖，也常形容個性「親切、熱情」。"
涼爽的,cool,"""cool"" 除了涼爽，口語中也常表示「酷、很棒」。"
漂亮的,pretty,"""pretty"" 當形容詞是「漂亮的」，當副詞則表示「相當、頗」，如 ""pretty good""。"
醜的,ugly,"""ugly"" 也可用於比喻，如 ""an ugly situation""（棘手的局面）。"
乾淨的,clean,"這裡的 ""clean"" 當形容詞用，表示「乾淨的」狀態。"
髒的,dirty,"""dirty"" 也可用於比喻，如 ""a dirty trick""（卑鄙的手段）。"
大聲的,loud,"""loud"" 常見片語 ""out loud""（大聲地），如 ""read out loud""。"
安靜的,quiet,"""quiet"" 常見用法 ""keep quiet""（保持安靜）。"
飽的 / 滿的,full,"""full"" 常見片語 ""full of""（充滿...）。"
空的,empty,"""empty"" 也可當動詞，意思是「把...清空」。"
濕的,wet,"""wet"" 的比較級可以是 ""wetter""，字尾子音需重複。"
乾的,dry,"""dry"" 也可當動詞，意思是「使乾燥、晾乾」。"
甜的,sweet,"""sweet"" 除了味覺上的甜，也常表示「貼心的、可愛的」。"
鹹的,salty,"""salty"" 由 ""salt""（鹽）+ ""-y""（形容詞字尾）組成。"
酸的,sour,"""sour"" 也可用於比喻，如 ""sour relationship""（不愉快的關係）。"
好吃的,yummy,"""yummy"" 是較口語、可愛的說法，常用於對小孩說話或形容美食。"
準備好的,ready,"""ready"" 常見片語 ""get ready""（準備好）。"
錯誤的,wrong,"""wrong"" 常見片語 ""What's wrong?""（怎麼了？）。"
正確的 / 右邊,right,"""right"" 除了「正確的」和「右邊」，也常用於加強語氣，如 ""right now""（此刻）。"
這裡,here,"""here"" 常見片語 ""over here""（在這邊）。"
那裡,there,"""there"" 常用於句首的存在句型，如 ""There is/are...""（有...）。"
上面,up,"""up"" 常與動詞組成片語動詞，如 ""wake up""（醒來）。"
下面,down,"""down"" 常與動詞組成片語動詞，如 ""sit down""（坐下）。"
在...裡,in,"""in"" 用於較大或封閉的空間，如 ""in the box""（在盒子裡）。"
在...外,out,"""out"" 常與動詞組成片語動詞，如 ""go out""（出去）。"
在...上,on,"""on"" 用於接觸表面的位置，如 ""on the table""（在桌子上）。"
在...下,under,"""under"" 表示位置在...之下，也常用於比喻，如 ""under pressure""（承受壓力）。"
靠近,near,"""near"" 既可當介系詞也可當形容詞，如 ""near the door""。"
遠,far,"""far"" 常見片語 ""so far""（到目前為止）。"
和...一起,with,"""with"" 表示「和某人一起」或「使用某工具」，如 ""cut with a knife""。"
沒有,without,"""without"" 是 ""with"" 的反義詞，表示「沒有、缺少」。"
的,of,"""of"" 是英文中使用頻率最高的介系詞之一，常表示所屬關係。"
和,and,"""and"" 是最基本的連接詞，用來連接對等的字詞或句子。"
但是,but,"""but"" 用來表示轉折，連接語意相反或對比的內容。"
或者,or,"""or"" 用來表示選擇，如 ""tea or coffee""（茶或咖啡）。"
因為,because,"""because"" 後面直接接完整子句，用來說明原因。"
所以,so,"""so"" 除了表示「所以」，也常用來加強語氣，如 ""so beautiful""（好漂亮）。"
如果,if,"""if"" 用來引導條件子句，常見於假設語氣。"
當...時,when,"""when"" 除了當疑問詞「何時」，也可當連接詞引導時間子句。"
什麼,what,"""what"" 是最常用的疑問詞之一，用來詢問事物。"
誰,who,"""who"" 用來詢問「誰」，指人；受格形式是 ""whom""，但口語常直接用 ""who""。"
哪裡,where,"""where"" 用來詢問地點。"
為什麼,why,"""why"" 用來詢問原因，回答常以 ""because"" 開頭。"
怎樣,how,"""how"" 用來詢問方式、程度或狀態，如 ""How are you?"""
這個,this,"""this"" 用於指稱距離說話者較近的單數事物。"
那個,that,"""that"" 用於指稱距離說話者較遠的單數事物。"
這些,these,"""these"" 是 ""this"" 的複數形。"
那些,those,"""those"" 是 ""that"" 的複數形。"
我,I,"""I"" 作為主詞永遠大寫，是英文中唯一單獨大寫的代名詞。"
你,you,"""you"" 不分單複數，也不分「你」與「妳」，男女通用。"
他,he,"""he"" 用於指稱男性第三人稱單數。"
她,she,"""she"" 用於指稱女性第三人稱單數。"
它,it,"""it"" 用於指稱物品、動物或抽象概念的第三人稱單數。"
我們,we,"""we"" 用於指稱包含說話者在內的一群人。"
他們,they,"""they"" 除了指第三人稱複數，現代英語也常用來指性別不明的單一個人。"
我的,my,"""my"" 是所有格代名詞，放在名詞前，如 ""my book""。"
你的,your,"""your"" 不分單複數所有格，都是同一個字。"
他的,his,"""his"" 既可放在名詞前（his book），也可單獨使用（It's his.）。"
她的,her,"""her"" 當所有格時放在名詞前，如 ""her book""。"
它的,its,"""its"" 是所有格，注意與 ""it's""（it is 的縮寫）拼法不同，容易混淆。"
我們的,our,"""our"" 是所有格代名詞，放在名詞前，如 ""our house""。"
他們的,their,"""their"" 是所有格代名詞，也常用於指單一、性別不明的人。"
我 (受格),me,"""me"" 是 ""I"" 的受格形式，用於動詞或介系詞之後。"
他 (受格),him,"""him"" 是 ""he"" 的受格形式。"
她 (受格),her,"""her"" 也可作為受格形式，拼法與所有格 ""her"" 相同。"
我們 (受格),us,"""us"" 是 ""we"" 的受格形式。"
他們 (受格),them,"""them"" 是 ""they"" 的受格形式。"
一,one,"""one"" 除了數字，也常當代名詞用，如 ""this one""（這一個）。"
二,two,"""two"" 拼法容易與 ""too""（也）、""to""（到）混淆，三者發音相同。"
三,three,"""three"" 的 ""th"" 音對中文母語者常是發音難點。"
四,four,"""four"" 拼法容易與 ""for""（為了）混淆，發音相同。"
五,five,"""five"" 常見片語 ""high five""（擊掌）。"
六,six,"""six"" 常見於時間、數量表達。"
七,seven,"""seven"" 常見片語 ""lucky seven""（幸運數字七）。"
八,eight,"""eight"" 拼法中 ""gh"" 不發音。"
九,nine,"""nine"" 常見片語 ""dressed to the nines""（盛裝打扮）。"
十,ten,"""ten"" 是十進位的基礎數字，常用於構成 ""-teen"" 和 ""-ty"" 的數字。"
零,zero,"""zero"" 在電話號碼或體育比分中口語常說 ""oh""。"
一些,some,"""some"" 通常用於肯定句，疑問句與否定句則常改用 ""any""。"
很多,many,"""many"" 用於可數名詞前，如 ""many books""。"
許多,much,"""much"" 用於不可數名詞前，如 ""much water""。"
全部,all,"""all"" 常見片語 ""all day""（一整天）。"
不 / 沒有,no,"""no"" 用於名詞前表示否定，如 ""no money""（沒有錢），與 ""not"" 用法不同。"
是,yes,"""yes"" 是最基本的肯定回答，口語中常簡化為 ""yeah""。"
現在,now,"""now"" 常見片語 ""right now""（現在馬上）。"
那時,then,"""then"" 除了「那時」，也常表示「接著、然後」，用於敘述先後順序。"
總是,always,"""always"" 是頻率副詞，通常放在一般動詞前、be動詞後。"
從不,never,"""never"" 本身已含否定意思，句中不需再加 ""not""。"
有時候,sometimes,"""sometimes"" 也可放在句首，語氣較強調。"
再一次,again,"""again"" 常見片語 ""once again""（再一次）。"
只是,just,"""just"" 除了「只是」，也常表示「剛剛」，如 ""just arrived""（剛到）。"
只有,only,"""only"" 的位置會影響語意重點，放在不同字前面意思會有微妙差異。"
非常,very,"""very"" 是常見的程度副詞，用來加強形容詞或副詞的語氣。"
太 (過度),too,"""too"" 放在句尾表示「也」，放在形容詞前則表示「太過」。"
也,also,"""also"" 通常放在句中，語氣比句尾的 ""too"" 稍正式。"
真的,really,"""really"" 常用來加強語氣，如 ""really good""（真的很好）。"
也許,maybe,"""maybe"" 通常放在句首，語氣較口語；""perhaps"" 較正式。"
大約,about,"""about"" 除了「大約」，也常表示「關於」，如 ""talk about""。"
之前,before,"""before"" 既可當介系詞、連接詞，也可當副詞，如 ""the day before""。"
之後,after,"""after"" 與 ""before"" 是一組反義詞，都可表示時間或順序。"
結束 / 上方,over,"""over"" 有多種意思，可表示「結束」，也可表示「在...上方」。"
下方,under,"""under"" 也常用於抽象意義，如 ""under construction""（施工中）。"
穿過,through,"""through"" 常見片語 ""go through""（經歷、通過）。"
周圍,around,"""around"" 除了「周圍」，口語中也常表示「大約」，與 ""about"" 相近。"
跟,with,"這裡的 ""with"" 表示「陪伴、跟隨」，用法與 ""和...一起"" 相近但更簡潔。"
從,from,"""from"" 常用來表示起點，如 ""from Taiwan""（來自台灣）。"
到,to,"""to"" 除了表示方向，也常用於構成不定詞，如 ""to go""。"
在,at,"""at"" 通常用於較精確的時間點或地點，如 ""at 3 o'clock""。"
在旁邊,by,"""by"" 除了「在旁邊」，也常表示交通方式，如 ""by bus""（搭公車）。"
必須,must,"""must"" 表示強烈的義務或推測，語氣比 ""should"" 更強。"
能,can,"""can"" 的過去式是 ""could""，也常用來表示禮貌的請求。"
應該,should,"""should"" 表示建議或義務，語氣比 ""must"" 較委婉。"
可以,may,"""may"" 除了「可以」，也常表示「可能」，如 ""It may rain.""（可能會下雨）。"
